epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
21,3231.49,0.90731,3.05285,0.25546,0.47035,0.0159,2.36023,0.96704,0.9661,0.9884,0.84097,0.85939,0.81101,0.80936,0.65908,0.66234,1.84219,0.07424,0.26744,0.01465,0,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,3524.08,0.89135,2.9465,0.25132,0.45441,0.01569,2.23004,0.96144,0.966,0.98873,0.8481,0.86892,0.82452,0.82635,0.67163,0.64988,1.77362,0.0708,0.26317,0.01437,0,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,3816.58,0.89643,2.96329,0.25014,0.45566,0.01576,2.23784,0.95749,0.97295,0.98895,0.85004,0.86239,0.8184,0.82236,0.67471,0.64551,1.79851,0.07435,0.25347,0.01434,0,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,4109.64,0.88691,2.91275,0.24887,0.44963,0.01554,2.1354,0.96592,0.96786,0.98813,0.84809,0.86313,0.83433,0.83299,0.68193,0.64459,1.73755,0.07142,0.26465,0.01424,0,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,4402.58,0.88281,2.87093,0.24702,0.44658,0.01538,2.08173,0.9665,0.96597,0.9886,0.85577,0.86932,0.82261,0.82297,0.67535,0.62857,1.75425,0.0714,0.25421,0.01387,0,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,4695.19,0.87567,2.85249,0.24384,0.44985,0.01538,2.06028,0.96724,0.96699,0.9887,0.85468,0.86588,0.82273,0.82602,0.68657,0.62762,1.73445,0.06814,0.24938,0.01378,0,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,4987.81,0.87481,2.82112,0.24348,0.44706,0.01529,1.95888,0.96823,0.97111,0.98926,0.85524,0.87454,0.8359,0.83894,0.6907,0.63217,1.68973,0.0704,0.24074,0.01397,0,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,5280.38,0.86457,2.76364,0.23907,0.42848,0.015,1.88287,0.96168,0.97532,0.98928,0.85951,0.86928,0.84669,0.84028,0.69486,0.61232,1.65376,0.07029,0.24161,0.01342,0,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,5572.92,0.86147,2.73498,0.23911,0.42332,0.01499,1.82226,0.97105,0.97045,0.99003,0.86176,0.88068,0.84274,0.8467,0.69938,0.6105,1.63916,0.07062,0.23878,0.01347,0,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,5865.2,0.85366,2.71114,0.2379,0.43524,0.01482,1.78899,0.96906,0.97399,0.9894,0.86332,0.87906,0.85816,0.85425,0.70729,0.60479,1.59586,0.06828,0.23853,0.01332,0,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,6157.99,0.85472,2.71292,0.23911,0.42528,0.01483,1.77287,0.96821,0.9743,0.98954,0.86483,0.88427,0.85179,0.85754,0.70851,0.6005,1.56713,0.06816,0.23826,0.01313,0,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,6450.28,0.84784,2.67053,0.23642,0.42104,0.01459,1.71841,0.97226,0.97107,0.98985,0.86443,0.88648,0.84911,0.8542,0.71232,0.60299,1.57378,0.06715,0.23582,0.01321,0,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
